JP,\' = '\n',"-' = ','",,,,,,
,ID,keyName,"Type(Bubble,Quest)",dialogueName,,index,optionString,mainText
0~499 Day Event,,,,,,,,
500~999 Story,,,,,,,,
1000~1999 quest,,,,,,,,
2000~9999 NPCevent,,,,,,,,
,,,,,,,,
,0,Prologue,Bubble,,,0,@Camera::Player::Camera,к╡к╞бвк╔кжк╣кьк╨кдкдк└кэкжклг┐
,,,,,,1,,бжбжбжбж
,,,,,,2,,к╜к╬¤нбвкдкэкдкэк╚▌┬клк├к╞кнк┐к▒к╔бж
,,,,,,3,,к╚к╦клкпщйя├к╧бв▐чкмл└лєл╕лчлєкЄЁ├э┬к╟кнк╞бж
,,,,,,4,,╥¤кпк╬ь╤кЄ?к╡к╗к╞л└лєл╕лчлєкЄрўэ■к╡к╗кьк╨кдкдкєк└кшк═г┐
,,,,,,5,,ь╤км╥¤кп?кык█к╔л▐л╩кмєвк▐к├к╞бвк╟кнкык│к╚км?кик╞бж
,,,,,,6,,к│кєк╩л└лєл╕лчлєк╦т┴км?кык╬клк╚▐╓кжк▒к╔бж
,,,,,,7,,к▐кббвк╚къквкик║ьщьэк█к╔?энкЄ╠╕к╞к▀кшкжклг┐
,,,,,,8,,к▐к║к╧т┴км?кыклЄ▒кщк╩кдк╚?є■кмк╟кнк╩кдклкщк═бг
,,,,,,,,
,,,,,,,,
,1,Tutorial_Facility,Bubble,,,0,@Camera::Player::Camera,кфк├к╤къ∙╝ь╤клк╬?їоєїкък╚?▄¤кпкщкдк╖кл?к╩кдкєк└к╩бг
,,,,,,1,,к╜къкук╜кжк└кшк═бг∙╝кЄ╤в╙тк╖к╞к┐кєк└бг
,,,,,,2,,?Ё╖бв?ьэк│к╬л└лєл╕лчлєкЄт▐к├к╞кдк┐▐чкмьщ█укшкпЄ▒к├к╞кык╕кук╩кдклг┐
,,,,,,3,,к│к╬л└лєл╕лчлєк╦?кы╫тыжкмквк▐кък╩кдк├к╞к│к╚кЄбж
,,,,,,4,,бжбжбжбжбжбж
,,,,,,5,,к╟ктбвк│кьклкщк╧╫тыжкЄэ┬к├к╞кдк▒к╨кдкдкєк└клкщгб
,,,,,,6,,к╚къквкик║?їокф?┌кклкщэ┬к├к╞к▀кшкжбг
,,,,,,7,,к╔кжк╦клк╖к╞с┤к╖к║к─к╧?к╞кпкьк╞кык╖к═бг
,,,,,,8,,Ўтк╦∙╝клк╟кнкык│к╚к╧квкыклк╩г┐
,,,,,,9,,у┴╩ркмх∙к├к┐кщЁ┴▀└к╟ктс┤к╖Ёрк┘к╞к▀кшкжклк╩бг
,,,,,,,,
,,,,,,,,
,2,Tutorial_Monster,Bubble,,,0,@Camera::Player::Camera,к╜кьк╦к╖к╞ктбвс┤к╩кдк╚к╧кдки┘│?э║к┐к┴кт?кык└кэкжк╖бж
,,,,,,1,,к┐к▐к╦кдкыкєк└кшк═бг╠╕узкд┘│?э║к┐к┴кмбг
,,,,,,2,,ўо▀укф?┌кбвлтлєл╣л┐?км┘═ю▄к╬┘│?э║к┐к┴к╧бв?їокф?┌кк└к▒к╟к╧?к╗к╩кдк└кэкжк╖бг
,,,,,,3,,кфк├к╤кълтлєл╣л┐?км∙▒щйклктк╖кьк╩кдк═бг
,,,,,,4,,л└лєл╕лчлєк╬л▐л╩кЄ▐┼к├к╞ьщ╙°сп№░к╖к╞к▀кшкжбг
,,,,,,,,
,,,,,,,,
,3,Tutorial_Technical,Bubble,,,0,@Camera::Technical_A::Camera,
,,,,,,1,@Camera::Player::Camera,л└лєл╕лчлєк╦к│кєк╩═Ў╩ркмквк├к┐клк╩г┐
,,,,,,2,,∙╝клц╡╪бк─у┐рткЄ╦як╞кщкьк╜кжк└к═бг
,,,,,,,,
,,,,,,,,
,4,Tutorial_Egg,Bubble,,,0,@Camera::Player::Camera,!!
,,,,,,1, @Camera::BasementFloor_3::Camera@Skip::2::Skip,
,,,,,,2, @Action::EggEntrance::Action@Skip::2::Skip,
,,,,,,3, @Camera::BasementFloor_Egg::Camera@Skip::2::Skip,
,,,,,,4, @Action::EggAppear::Action@Skip::2::Skip,
,,,,,,5,@Camera::Player::Camera,?ь╣Єцкмювк╙№└рї√∙к╖к┐к═бг
,,,,,,6,,к║к├к╚?кьк╞кдк╞кпкькьк╨кшклк├к┐кєк└к▒к╔бж
,,,,,,7,,к╚к╦клкпбвк│к╬═Ў╩ркЄ╠╕к─клкщк╩кдкшкжк╦?кЄк─к▒к╩кдк╚бг
,,,,,,8,,кнк├к╚╬╓к╖кп▐╓кякькык└кэкжк╖бвлолыл╔клкщЁр▐█км?кыклктк╖кьк╩кдбг
,,,,,,9,,к╔кжквкьбв╠°х│кЄш╟╓їк╖к╩кдк╚▐чкмъ╦?к└клкщк═бж
,,,,,,10,@Action::EggMessage::Action,
,,,,,,,,
,,,,,,,,
,5,Tutorial_Guild,Bubble,,,0,@Camera::Player::Camera,лолыл╔к╦·╝к├к╞к▀кшкжклк╩г┐
,,,,,,1,,∙╝клц╡╪бк─я╫▄├км╘Ёкщкькыклктк╖кьк╩кдк╖бг
,,,,,,2,,к╟ктл╚лщл╓лыкм╤├кнк╩кдкшкжк╦?кЄк─к▒к┐к█кжкмкдкдк═бг
